case,threshold,goal_id,precision_at_k,recall_at_k,f1_at_k,fpr,candidate_count,admitted_count,relevant_count,tp,fp
case5,0.88,G-U0001-05,0.8,0.4,0.5333,0.0141,81,5,10,4,1
case6,0.85,G-U0001-05,0.8,0.4,0.5333,0.0141,81,5,10,4,1
case1,0.96,G-U0002-01,1.0,0.5,0.6667,0.0,15,5,10,5,0
case2,0.94,G-U0002-01,1.0,0.5,0.6667,0.0,45,5,10,5,0
case3,0.92,G-U0002-01,1.0,0.5,0.6667,0.0,59,5,10,5,0
case4,0.9,G-U0002-01,1.0,0.5,0.6667,0.0,61,5,10,5,0
case5,0.88,G-U0002-01,1.0,0.5,0.6667,0.0,61,5,10,5,0
case6,0.85,G-U0002-01,1.0,0.5,0.6667,0.0,61,5,10,5,0
case1,0.96,G-U0002-02,1.0,0.5,0.6667,0.0,11,5,10,5,0
case2,0.94,G-U0002-02,1.0,0.5,0.6667,0.0,12,5,10,5,0
case3,0.92,G-U0002-02,1.0,0.5,0.6667,0.0,26,5,10,5,0
case4,0.9,G-U0002-02,1.0,0.5,0.6667,0.0,56,5,10,5,0
case5,0.88,G-U0002-02,1.0,0.5,0.6667,0.0,61,5,10,5,0
case6,0.85,G-U0002-02,1.0,0.5,0.6667,0.0,61,5,10,5,0
case1,0.96,G-U0002-03,1.0,0.5,0.6667,0.0,7,5,10,5,0
case2,0.94,G-U0002-03,1.0,0.5,0.6667,0.0,20,5,10,5,0
case3,0.92,G-U0002-03,1.0,0.5,0.6667,0.0,38,5,10,5,0
case4,0.9,G-U0002-03,1.0,0.5,0.6667,0.0,51,5,10,5,0
case5,0.88,G-U0002-03,1.0,0.5,0.6667,0.0,61,5,10,5,0
case6,0.85,G-U0002-03,1.0,0.5,0.6667,0.0,61,5,10,5,0
case1,0.96,G-U0003-01,1.0,0.2,0.3333,0.0,2,2,10,2,0
case2,0.94,G-U0003-01,1.0,0.5,0.6667,0.0,9,5,10,5,0
case3,0.92,G-U0003-01,1.0,0.5,0.6667,0.0,22,5,10,5,0
case4,0.9,G-U0003-01,1.0,0.5,0.6667,0.0,44,5,10,5,0
case5,0.88,G-U0003-01,1.0,0.5,0.6667,0.0,66,5,10,5,0
case6,0.85,G-U0003-01,1.0,0.5,0.6667,0.0,81,5,10,5,0
case1,0.96,G-U0003-02,1.0,0.2,0.3333,0.0,2,2,10,2,0
case2,0.94,G-U0003-02,1.0,0.2,0.3333,0.0,2,2,10,2,0
case3,0.92,G-U0003-02,0.5,0.2,0.2857,0.0282,4,4,10,2,2
case4,0.9,G-U0003-02,0.4,0.2,0.2667,0.0423,11,5,10,2,3
case5,0.88,G-U0003-02,0.4,0.2,0.2667,0.0423,34,5,10,2,3
case6,0.85,G-U0003-02,0.4,0.2,0.2667,0.0423,66,5,10,2,3
case1,0.96,G-U0003-03,1.0,0.5,0.6667,0.0,5,5,10,5,0
case2,0.94,G-U0003-03,1.0,0.5,0.6667,0.0,7,5,10,5,0
case3,0.92,G-U0003-03,1.0,0.5,0.6667,0.0,17,5,10,5,0
case4,0.9,G-U0003-03,1.0,0.5,0.6667,0.0,30,5,10,5,0
case5,0.88,G-U0003-03,1.0,0.5,0.6667,0.0,58,5,10,5,0
case6,0.85,G-U0003-03,1.0,0.5,0.6667,0.0,79,5,10,5,0
case1,0.96,G-U0003-04,0.6,0.3,0.4,0.0282,20,5,10,3,2
case2,0.94,G-U0003-04,0.6,0.3,0.4,0.0282,36,5,10,3,2
case3,0.92,G-U0003-04,0.6,0.3,0.4,0.0282,48,5,10,3,2
case4,0.9,G-U0003-04,0.6,0.3,0.4,0.0282,75,5,10,3,2
case5,0.88,G-U0003-04,0.6,0.3,0.4,0.0282,81,5,10,3,2
case6,0.85,G-U0003-04,0.6,0.3,0.4,0.0282,81,5,10,3,2
case1,0.96,G-U0003-05,0.6,0.3,0.4,0.0282,5,5,10,3,2
case2,0.94,G-U0003-05,0.6,0.3,0.4,0.0282,22,5,10,3,2
case3,0.92,G-U0003-05,0.6,0.3,0.4,0.0282,33,5,10,3,2
case4,0.9,G-U0003-05,0.6,0.3,0.4,0.0282,44,5,10,3,2
case5,0.88,G-U0003-05,0.6,0.3,0.4,0.0282,73,5,10,3,2
case6,0.85,G-U0003-05,0.6,0.3,0.4,0.0282,81,5,10,3,2
case1,0.96,G-U0004-01,1.0,0.4,0.5714,0.0,4,4,10,4,0
case2,0.94,G-U0004-01,1.0,0.5,0.6667,0.0,8,5,10,5,0
case3,0.92,G-U0004-01,1.0,0.5,0.6667,0.0,12,5,10,5,0
case4,0.9,G-U0004-01,1.0,0.5,0.6667,0.0,26,5,10,5,0
case5,0.88,G-U0004-01,1.0,0.5,0.6667,0.0,40,5,10,5,0
case6,0.85,G-U0004-01,1.0,0.5,0.6667,0.0,70,5,10,5,0
case1,0.96,G-U0004-02,0.4,0.2,0.2667,0.0423,28,5,10,2,3
case2,0.94,G-U0004-02,0.4,0.2,0.2667,0.0423,42,5,10,2,3
case3,0.92,G-U0004-02,0.4,0.2,0.2667,0.0423,46,5,10,2,3
case4,0.9,G-U0004-02,0.4,0.2,0.2667,0.0423,74,5,10,2,3
case5,0.88,G-U0004-02,0.4,0.2,0.2667,0.0423,81,5,10,2,3
case6,0.85,G-U0004-02,0.4,0.2,0.2667,0.0423,81,5,10,2,3
case1,0.96,G-U0004-03,1.0,0.2,0.3333,0.0,2,2,10,2,0
case2,0.94,G-U0004-03,1.0,0.3,0.4615,0.0,3,3,10,3,0
case3,0.92,G-U0004-03,1.0,0.5,0.6667,0.0,13,5,10,5,0
case4,0.9,G-U0004-03,1.0,0.5,0.6667,0.0,31,5,10,5,0
case5,0.88,G-U0004-03,1.0,0.5,0.6667,0.0,66,5,10,5,0
case6,0.85,G-U0004-03,1.0,0.5,0.6667,0.0,80,5,10,5,0
case1,0.96,G-U0004-04,0.0,0.0,0.0,0.0704,50,5,10,0,5
case2,0.94,G-U0004-04,0.0,0.0,0.0,0.0704,76,5,10,0,5
case3,0.92,G-U0004-04,0.0,0.0,0.0,0.0704,81,5,10,0,5
case4,0.9,G-U0004-04,0.0,0.0,0.0,0.0704,81,5,10,0,5
case5,0.88,G-U0004-04,0.0,0.0,0.0,0.0704,81,5,10,0,5
case6,0.85,G-U0004-04,0.0,0.0,0.0,0.0704,81,5,10,0,5
case1,0.96,G-U0004-05,1.0,0.3,0.4615,0.0,3,3,10,3,0
case2,0.94,G-U0004-05,0.6,0.3,0.4,0.0282,11,5,10,3,2
case3,0.92,G-U0004-05,0.6,0.3,0.4,0.0282,31,5,10,3,2
case4,0.9,G-U0004-05,0.6,0.3,0.4,0.0282,41,5,10,3,2
case5,0.88,G-U0004-05,0.6,0.3,0.4,0.0282,53,5,10,3,2
case6,0.85,G-U0004-05,0.6,0.3,0.4,0.0282,77,5,10,3,2
case1,0.96,G-U0005-01,1.0,0.5,0.6667,0.0,9,5,10,5,0
case2,0.94,G-U0005-01,1.0,0.5,0.6667,0.0,13,5,10,5,0
case3,0.92,G-U0005-01,1.0,0.5,0.6667,0.0,22,5,10,5,0
case4,0.9,G-U0005-01,1.0,0.5,0.6667,0.0,39,5,10,5,0
case5,0.88,G-U0005-01,1.0,0.5,0.6667,0.0,51,5,10,5,0
case6,0.85,G-U0005-01,1.0,0.5,0.6667,0.0,70,5,10,5,0
case1,0.96,G-U0005-02,0.0,0.0,0.0,0.082,19,5,10,0,5
case2,0.94,G-U0005-02,0.0,0.0,0.0,0.082,44,5,10,0,5
case3,0.92,G-U0005-02,0.0,0.0,0.0,0.082,65,5,10,0,5
case4,0.9,G-U0005-02,0.0,0.0,0.0,0.082,71,5,10,0,5
case5,0.88,G-U0005-02,0.0,0.0,0.0,0.082,71,5,10,0,5
case6,0.85,G-U0005-02,0.0,0.0,0.0,0.082,71,5,10,0,5
case1,0.96,G-U0005-03,0.8,0.4,0.5333,0.0164,12,5,10,4,1
case2,0.94,G-U0005-03,0.8,0.4,0.5333,0.0164,19,5,10,4,1
case3,0.92,G-U0005-03,0.8,0.4,0.5333,0.0164,31,5,10,4,1
case4,0.9,G-U0005-03,0.8,0.4,0.5333,0.0164,46,5,10,4,1
case5,0.88,G-U0005-03,0.8,0.4,0.5333,0.0164,60,5,10,4,1
case6,0.85,G-U0005-03,0.8,0.4,0.5333,0.0164,71,5,10,4,1
case1,0.96,G-U0005-04,0.2,0.1,0.1333,0.0656,15,5,10,1,4
case2,0.94,G-U0005-04,0.2,0.1,0.1333,0.0656,28,5,10,1,4
case3,0.92,G-U0005-04,0.2,0.1,0.1333,0.0656,45,5,10,1,4
case4,0.9,G-U0005-04,0.2,0.1,0.1333,0.0656,63,5,10,1,4
case5,0.88,G-U0005-04,0.2,0.1,0.1333,0.0656,71,5,10,1,4
case6,0.85,G-U0005-04,0.2,0.1,0.1333,0.0656,71,5,10,1,4
case1,0.96,G-U0006-01,1.0,0.5,0.6667,0.0,11,5,10,5,0
case2,0.94,G-U0006-01,1.0,0.5,0.6667,0.0,29,5,10,5,0
case3,0.92,G-U0006-01,1.0,0.5,0.6667,0.0,38,5,10,5,0
case4,0.9,G-U0006-01,1.0,0.5,0.6667,0.0,63,5,10,5,0
case5,0.88,G-U0006-01,1.0,0.5,0.6667,0.0,71,5,10,5,0
case6,0.85,G-U0006-01,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0006-02,1.0,0.5,0.6667,0.0,7,5,10,5,0
case2,0.94,G-U0006-02,1.0,0.5,0.6667,0.0,9,5,10,5,0
case3,0.92,G-U0006-02,1.0,0.5,0.6667,0.0,12,5,10,5,0
case4,0.9,G-U0006-02,1.0,0.5,0.6667,0.0,19,5,10,5,0
case5,0.88,G-U0006-02,1.0,0.5,0.6667,0.0,27,5,10,5,0
case6,0.85,G-U0006-02,1.0,0.5,0.6667,0.0,64,5,10,5,0
case1,0.96,G-U0006-03,1.0,0.5,0.6667,0.0,8,5,10,5,0
case2,0.94,G-U0006-03,1.0,0.5,0.6667,0.0,18,5,10,5,0
case3,0.92,G-U0006-03,1.0,0.5,0.6667,0.0,28,5,10,5,0
case4,0.9,G-U0006-03,1.0,0.5,0.6667,0.0,35,5,10,5,0
case5,0.88,G-U0006-03,1.0,0.5,0.6667,0.0,52,5,10,5,0
case6,0.85,G-U0006-03,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0006-04,0.4,0.2,0.2667,0.0492,14,5,10,2,3
case2,0.94,G-U0006-04,0.4,0.2,0.2667,0.0492,17,5,10,2,3
case3,0.92,G-U0006-04,0.4,0.2,0.2667,0.0492,26,5,10,2,3
case4,0.9,G-U0006-04,0.4,0.2,0.2667,0.0492,36,5,10,2,3
case5,0.88,G-U0006-04,0.4,0.2,0.2667,0.0492,68,5,10,2,3
case6,0.85,G-U0006-04,0.4,0.2,0.2667,0.0492,71,5,10,2,3
case1,0.96,G-U0007-01,1.0,0.5,0.6667,0.0,13,5,10,5,0
case2,0.94,G-U0007-01,1.0,0.5,0.6667,0.0,21,5,10,5,0
case3,0.92,G-U0007-01,1.0,0.5,0.6667,0.0,28,5,10,5,0
case4,0.9,G-U0007-01,1.0,0.5,0.6667,0.0,45,5,10,5,0
case5,0.88,G-U0007-01,1.0,0.5,0.6667,0.0,57,5,10,5,0
case6,0.85,G-U0007-01,1.0,0.5,0.6667,0.0,61,5,10,5,0
case1,0.96,G-U0007-02,1.0,0.2,0.3333,0.0,2,2,10,2,0
case2,0.94,G-U0007-02,0.6,0.3,0.4,0.0392,7,5,10,3,2
case3,0.92,G-U0007-02,0.6,0.3,0.4,0.0392,15,5,10,3,2
case4,0.9,G-U0007-02,0.6,0.3,0.4,0.0392,31,5,10,3,2
case5,0.88,G-U0007-02,0.6,0.3,0.4,0.0392,52,5,10,3,2
case6,0.85,G-U0007-02,0.6,0.3,0.4,0.0392,61,5,10,3,2
case1,0.96,G-U0007-03,0.8,0.4,0.5333,0.0196,22,5,10,4,1
case2,0.94,G-U0007-03,0.8,0.4,0.5333,0.0196,42,5,10,4,1
case3,0.92,G-U0007-03,0.8,0.4,0.5333,0.0196,60,5,10,4,1
case4,0.9,G-U0007-03,0.8,0.4,0.5333,0.0196,61,5,10,4,1
case5,0.88,G-U0007-03,0.8,0.4,0.5333,0.0196,61,5,10,4,1
case6,0.85,G-U0007-03,0.8,0.4,0.5333,0.0196,61,5,10,4,1
case1,0.96,G-U0008-01,1.0,0.1,0.1818,0.0,1,1,10,1,0
case2,0.94,G-U0008-01,1.0,0.3,0.4615,0.0,3,3,10,3,0
case3,0.92,G-U0008-01,1.0,0.5,0.6667,0.0,10,5,10,5,0
case4,0.9,G-U0008-01,1.0,0.5,0.6667,0.0,20,5,10,5,0
case5,0.88,G-U0008-01,1.0,0.5,0.6667,0.0,39,5,10,5,0
case6,0.85,G-U0008-01,1.0,0.5,0.6667,0.0,61,5,10,5,0
case1,0.96,G-U0008-02,0.0,0.0,0.0,0.098,23,5,10,0,5
case2,0.94,G-U0008-02,0.0,0.0,0.0,0.098,44,5,10,0,5
case3,0.92,G-U0008-02,0.0,0.0,0.0,0.098,58,5,10,0,5
case4,0.9,G-U0008-02,0.0,0.0,0.0,0.098,61,5,10,0,5
case5,0.88,G-U0008-02,0.0,0.0,0.0,0.098,61,5,10,0,5
case6,0.85,G-U0008-02,0.0,0.0,0.0,0.098,61,5,10,0,5
case1,0.96,G-U0008-03,0.2,0.1,0.1333,0.0784,14,5,10,1,4
case2,0.94,G-U0008-03,0.2,0.1,0.1333,0.0784,31,5,10,1,4
case3,0.92,G-U0008-03,0.2,0.1,0.1333,0.0784,44,5,10,1,4
case4,0.9,G-U0008-03,0.2,0.1,0.1333,0.0784,60,5,10,1,4
case5,0.88,G-U0008-03,0.2,0.1,0.1333,0.0784,61,5,10,1,4
case6,0.85,G-U0008-03,0.2,0.1,0.1333,0.0784,61,5,10,1,4
case1,0.96,G-U0009-01,0.0,0.0,0.0,0.082,16,5,10,0,5
case2,0.94,G-U0009-01,0.0,0.0,0.0,0.082,34,5,10,0,5
case3,0.92,G-U0009-01,0.0,0.0,0.0,0.082,60,5,10,0,5
case4,0.9,G-U0009-01,0.0,0.0,0.0,0.082,71,5,10,0,5
case5,0.88,G-U0009-01,0.0,0.0,0.0,0.082,71,5,10,0,5
case6,0.85,G-U0009-01,0.0,0.0,0.0,0.082,71,5,10,0,5
case1,0.96,G-U0009-02,1.0,0.3,0.4615,0.0,3,3,10,3,0
case2,0.94,G-U0009-02,1.0,0.3,0.4615,0.0,3,3,10,3,0
case3,0.92,G-U0009-02,0.6,0.3,0.4,0.0328,19,5,10,3,2
case4,0.9,G-U0009-02,0.6,0.3,0.4,0.0328,34,5,10,3,2
case5,0.88,G-U0009-02,0.6,0.3,0.4,0.0328,54,5,10,3,2
case6,0.85,G-U0009-02,0.6,0.3,0.4,0.0328,71,5,10,3,2
case1,0.96,G-U0009-03,1.0,0.5,0.6667,0.0,8,5,10,5,0
case2,0.94,G-U0009-03,1.0,0.5,0.6667,0.0,22,5,10,5,0
case3,0.92,G-U0009-03,1.0,0.5,0.6667,0.0,40,5,10,5,0
case4,0.9,G-U0009-03,1.0,0.5,0.6667,0.0,60,5,10,5,0
case5,0.88,G-U0009-03,1.0,0.5,0.6667,0.0,71,5,10,5,0
case6,0.85,G-U0009-03,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0009-04,1.0,0.5,0.6667,0.0,8,5,10,5,0
case2,0.94,G-U0009-04,1.0,0.5,0.6667,0.0,8,5,10,5,0
case3,0.92,G-U0009-04,1.0,0.5,0.6667,0.0,10,5,10,5,0
case4,0.9,G-U0009-04,1.0,0.5,0.6667,0.0,29,5,10,5,0
case5,0.88,G-U0009-04,1.0,0.5,0.6667,0.0,54,5,10,5,0
case6,0.85,G-U0009-04,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0010-01,1.0,0.5,0.6667,0.0,8,5,10,5,0
case2,0.94,G-U0010-01,1.0,0.5,0.6667,0.0,8,5,10,5,0
case3,0.92,G-U0010-01,1.0,0.5,0.6667,0.0,23,5,10,5,0
case4,0.9,G-U0010-01,1.0,0.5,0.6667,0.0,49,5,10,5,0
case5,0.88,G-U0010-01,1.0,0.5,0.6667,0.0,60,5,10,5,0
case6,0.85,G-U0010-01,1.0,0.5,0.6667,0.0,61,5,10,5,0
case1,0.96,G-U0010-02,0.6,0.3,0.4,0.0392,16,5,10,3,2
case2,0.94,G-U0010-02,0.6,0.3,0.4,0.0392,30,5,10,3,2
case3,0.92,G-U0010-02,0.6,0.3,0.4,0.0392,57,5,10,3,2
case4,0.9,G-U0010-02,0.6,0.3,0.4,0.0392,60,5,10,3,2
case5,0.88,G-U0010-02,0.6,0.3,0.4,0.0392,61,5,10,3,2
case6,0.85,G-U0010-02,0.6,0.3,0.4,0.0392,61,5,10,3,2
case1,0.96,G-U0010-03,0.75,0.3,0.4286,0.0196,4,4,10,3,1
case2,0.94,G-U0010-03,0.8,0.4,0.5333,0.0196,10,5,10,4,1
case3,0.92,G-U0010-03,0.8,0.4,0.5333,0.0196,16,5,10,4,1
case4,0.9,G-U0010-03,0.8,0.4,0.5333,0.0196,35,5,10,4,1
case5,0.88,G-U0010-03,0.8,0.4,0.5333,0.0196,57,5,10,4,1
case6,0.85,G-U0010-03,0.8,0.4,0.5333,0.0196,60,5,10,4,1
case1,0.96,G-U0011-01,1.0,0.5,0.6667,0.0,9,5,10,5,0
case2,0.94,G-U0011-01,1.0,0.5,0.6667,0.0,14,5,10,5,0
case3,0.92,G-U0011-01,1.0,0.5,0.6667,0.0,27,5,10,5,0
case4,0.9,G-U0011-01,1.0,0.5,0.6667,0.0,50,5,10,5,0
case5,0.88,G-U0011-01,1.0,0.5,0.6667,0.0,69,5,10,5,0
case6,0.85,G-U0011-01,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0011-02,0.4,0.2,0.2667,0.0492,8,5,10,2,3
case2,0.94,G-U0011-02,0.4,0.2,0.2667,0.0492,21,5,10,2,3
case3,0.92,G-U0011-02,0.4,0.2,0.2667,0.0492,37,5,10,2,3
case4,0.9,G-U0011-02,0.4,0.2,0.2667,0.0492,57,5,10,2,3
case5,0.88,G-U0011-02,0.4,0.2,0.2667,0.0492,71,5,10,2,3
case6,0.85,G-U0011-02,0.4,0.2,0.2667,0.0492,71,5,10,2,3
case1,0.96,G-U0011-03,0.0,0.0,0.0,0.082,8,5,10,0,5
case2,0.94,G-U0011-03,0.0,0.0,0.0,0.082,30,5,10,0,5
case3,0.92,G-U0011-03,0.0,0.0,0.0,0.082,64,5,10,0,5
case4,0.9,G-U0011-03,0.0,0.0,0.0,0.082,70,5,10,0,5
case5,0.88,G-U0011-03,0.0,0.0,0.0,0.082,71,5,10,0,5
case6,0.85,G-U0011-03,0.0,0.0,0.0,0.082,71,5,10,0,5
case1,0.96,G-U0011-04,1.0,0.4,0.5714,0.0,4,4,10,4,0
case2,0.94,G-U0011-04,0.8,0.4,0.5333,0.0164,6,5,10,4,1
case3,0.92,G-U0011-04,0.8,0.4,0.5333,0.0164,9,5,10,4,1
case4,0.9,G-U0011-04,0.8,0.4,0.5333,0.0164,13,5,10,4,1
case5,0.88,G-U0011-04,0.8,0.4,0.5333,0.0164,31,5,10,4,1
case6,0.85,G-U0011-04,0.8,0.4,0.5333,0.0164,67,5,10,4,1
case1,0.96,G-U0012-01,0.0,0.0,0.0,0.082,13,5,10,0,5
case2,0.94,G-U0012-01,0.0,0.0,0.0,0.082,24,5,10,0,5
case3,0.92,G-U0012-01,0.0,0.0,0.0,0.082,30,5,10,0,5
case4,0.9,G-U0012-01,0.0,0.0,0.0,0.082,48,5,10,0,5
case5,0.88,G-U0012-01,0.0,0.0,0.0,0.082,68,5,10,0,5
case6,0.85,G-U0012-01,0.0,0.0,0.0,0.082,71,5,10,0,5
case1,0.96,G-U0012-02,0.4,0.2,0.2667,0.0492,5,5,10,2,3
case2,0.94,G-U0012-02,0.4,0.2,0.2667,0.0492,6,5,10,2,3
case3,0.92,G-U0012-02,0.4,0.2,0.2667,0.0492,11,5,10,2,3
case4,0.9,G-U0012-02,0.4,0.2,0.2667,0.0492,25,5,10,2,3
case5,0.88,G-U0012-02,0.4,0.2,0.2667,0.0492,42,5,10,2,3
case6,0.85,G-U0012-02,0.4,0.2,0.2667,0.0492,65,5,10,2,3
case1,0.96,G-U0012-03,1.0,0.5,0.6667,0.0,5,5,10,5,0
case2,0.94,G-U0012-03,1.0,0.5,0.6667,0.0,14,5,10,5,0
case3,0.92,G-U0012-03,1.0,0.5,0.6667,0.0,20,5,10,5,0
case4,0.9,G-U0012-03,1.0,0.5,0.6667,0.0,44,5,10,5,0
case5,0.88,G-U0012-03,1.0,0.5,0.6667,0.0,70,5,10,5,0
case6,0.85,G-U0012-03,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0012-04,1.0,0.5,0.6667,0.0,5,5,10,5,0
case2,0.94,G-U0012-04,1.0,0.5,0.6667,0.0,10,5,10,5,0
case3,0.92,G-U0012-04,1.0,0.5,0.6667,0.0,10,5,10,5,0
case4,0.9,G-U0012-04,1.0,0.5,0.6667,0.0,21,5,10,5,0
case5,0.88,G-U0012-04,1.0,0.5,0.6667,0.0,36,5,10,5,0
case6,0.85,G-U0012-04,1.0,0.5,0.6667,0.0,63,5,10,5,0
case1,0.96,G-U0013-01,1.0,0.5,0.6667,0.0,10,5,10,5,0
case2,0.94,G-U0013-01,1.0,0.5,0.6667,0.0,12,5,10,5,0
case3,0.92,G-U0013-01,1.0,0.5,0.6667,0.0,30,5,10,5,0
case4,0.9,G-U0013-01,1.0,0.5,0.6667,0.0,51,5,10,5,0
case5,0.88,G-U0013-01,1.0,0.5,0.6667,0.0,65,5,10,5,0
case6,0.85,G-U0013-01,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0013-02,0.5,0.1,0.1667,0.0164,2,2,10,1,1
case2,0.94,G-U0013-02,0.25,0.1,0.1429,0.0492,4,4,10,1,3
case3,0.92,G-U0013-02,0.4,0.2,0.2667,0.0492,12,5,10,2,3
case4,0.9,G-U0013-02,0.4,0.2,0.2667,0.0492,31,5,10,2,3
case5,0.88,G-U0013-02,0.4,0.2,0.2667,0.0492,53,5,10,2,3
case6,0.85,G-U0013-02,0.4,0.2,0.2667,0.0492,71,5,10,2,3
case1,0.96,G-U0013-03,1.0,0.5,0.6667,0.0,6,5,10,5,0
case2,0.94,G-U0013-03,1.0,0.5,0.6667,0.0,9,5,10,5,0
case3,0.92,G-U0013-03,1.0,0.5,0.6667,0.0,11,5,10,5,0
case4,0.9,G-U0013-03,1.0,0.5,0.6667,0.0,17,5,10,5,0
case5,0.88,G-U0013-03,1.0,0.5,0.6667,0.0,34,5,10,5,0
case6,0.85,G-U0013-03,1.0,0.5,0.6667,0.0,69,5,10,5,0
case1,0.96,G-U0013-04,1.0,0.5,0.6667,0.0,9,5,10,5,0
case2,0.94,G-U0013-04,1.0,0.5,0.6667,0.0,11,5,10,5,0
case3,0.92,G-U0013-04,1.0,0.5,0.6667,0.0,17,5,10,5,0
case4,0.9,G-U0013-04,1.0,0.5,0.6667,0.0,30,5,10,5,0
case5,0.88,G-U0013-04,1.0,0.5,0.6667,0.0,52,5,10,5,0
case6,0.85,G-U0013-04,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0014-01,1.0,0.5,0.6667,0.0,11,5,10,5,0
case2,0.94,G-U0014-01,1.0,0.5,0.6667,0.0,13,5,10,5,0
case3,0.92,G-U0014-01,1.0,0.5,0.6667,0.0,35,5,10,5,0
case4,0.9,G-U0014-01,1.0,0.5,0.6667,0.0,54,5,10,5,0
case5,0.88,G-U0014-01,1.0,0.5,0.6667,0.0,71,5,10,5,0
case6,0.85,G-U0014-01,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0014-02,1.0,0.5,0.6667,0.0,13,5,10,5,0
case2,0.94,G-U0014-02,1.0,0.5,0.6667,0.0,23,5,10,5,0
case3,0.92,G-U0014-02,1.0,0.5,0.6667,0.0,31,5,10,5,0
case4,0.9,G-U0014-02,1.0,0.5,0.6667,0.0,46,5,10,5,0
case5,0.88,G-U0014-02,1.0,0.5,0.6667,0.0,65,5,10,5,0
case6,0.85,G-U0014-02,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0014-03,0.4,0.2,0.2667,0.0492,31,5,10,2,3
case2,0.94,G-U0014-03,0.4,0.2,0.2667,0.0492,57,5,10,2,3
case3,0.92,G-U0014-03,0.4,0.2,0.2667,0.0492,69,5,10,2,3
case4,0.9,G-U0014-03,0.4,0.2,0.2667,0.0492,71,5,10,2,3
case5,0.88,G-U0014-03,0.4,0.2,0.2667,0.0492,71,5,10,2,3
case6,0.85,G-U0014-03,0.4,0.2,0.2667,0.0492,71,5,10,2,3
case1,0.96,G-U0014-04,1.0,0.2,0.3333,0.0,2,2,10,2,0
case2,0.94,G-U0014-04,1.0,0.5,0.6667,0.0,5,5,10,5,0
case3,0.92,G-U0014-04,1.0,0.5,0.6667,0.0,20,5,10,5,0
case4,0.9,G-U0014-04,1.0,0.5,0.6667,0.0,34,5,10,5,0
case5,0.88,G-U0014-04,1.0,0.5,0.6667,0.0,54,5,10,5,0
case6,0.85,G-U0014-04,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0015-01,1.0,0.5,0.6667,0.0,9,5,10,5,0
case2,0.94,G-U0015-01,1.0,0.5,0.6667,0.0,10,5,10,5,0
case3,0.92,G-U0015-01,1.0,0.5,0.6667,0.0,14,5,10,5,0
case4,0.9,G-U0015-01,1.0,0.5,0.6667,0.0,20,5,10,5,0
case5,0.88,G-U0015-01,1.0,0.5,0.6667,0.0,38,5,10,5,0
case6,0.85,G-U0015-01,1.0,0.5,0.6667,0.0,61,5,10,5,0
case1,0.96,G-U0015-02,0.0,0.0,0.0,0.098,12,5,10,0,5
case2,0.94,G-U0015-02,0.0,0.0,0.0,0.098,46,5,10,0,5
case3,0.92,G-U0015-02,0.0,0.0,0.0,0.098,60,5,10,0,5
case4,0.9,G-U0015-02,0.0,0.0,0.0,0.098,61,5,10,0,5
case5,0.88,G-U0015-02,0.0,0.0,0.0,0.098,61,5,10,0,5
case6,0.85,G-U0015-02,0.0,0.0,0.0,0.098,61,5,10,0,5
case1,0.96,G-U0015-03,1.0,0.3,0.4615,0.0,3,3,10,3,0
case2,0.94,G-U0015-03,1.0,0.5,0.6667,0.0,6,5,10,5,0
case3,0.92,G-U0015-03,1.0,0.5,0.6667,0.0,10,5,10,5,0
case4,0.9,G-U0015-03,1.0,0.5,0.6667,0.0,19,5,10,5,0
case5,0.88,G-U0015-03,1.0,0.5,0.6667,0.0,37,5,10,5,0
case6,0.85,G-U0015-03,1.0,0.5,0.6667,0.0,60,5,10,5,0
case1,0.96,G-U0016-01,0.0,0.0,0.0,0.098,16,5,10,0,5
case2,0.94,G-U0016-01,0.0,0.0,0.0,0.098,26,5,10,0,5
case3,0.92,G-U0016-01,0.0,0.0,0.0,0.098,34,5,10,0,5
case4,0.9,G-U0016-01,0.0,0.0,0.0,0.098,54,5,10,0,5
case5,0.88,G-U0016-01,0.0,0.0,0.0,0.098,61,5,10,0,5
case6,0.85,G-U0016-01,0.0,0.0,0.0,0.098,61,5,10,0,5
case1,0.96,G-U0016-02,1.0,0.5,0.6667,0.0,9,5,10,5,0
case2,0.94,G-U0016-02,1.0,0.5,0.6667,0.0,12,5,10,5,0
case3,0.92,G-U0016-02,1.0,0.5,0.6667,0.0,29,5,10,5,0
case4,0.9,G-U0016-02,1.0,0.5,0.6667,0.0,48,5,10,5,0
case5,0.88,G-U0016-02,1.0,0.5,0.6667,0.0,60,5,10,5,0
